experiment_id,experiment_name,run_id,profile,source_artifact,variant,baseline,condition,world_count,route_length,cue_count,corruption_rate,budget_ratio,metric,mean,std,sem,ci_low,ci_high,effect_size,comparison,panel,caveat,manuscript_claim_id
Exp13,breaking_point,analysis,full,experiments/experiment13_breaking_point/analysis/capacity_pressure_summary.csv,exp13_full_context_separated_memory,,Global budget,32,12,,,0.25,composition_accuracy,0.2755208333333333,0.0032356181353617,0.0014470124199799754,0.27268468899017256,0.2783569776764941,,,,Observed finite-budget degradation only; capacity-law fitting and paired seed-level local/global inference are not claimed.,"C6,C7"
Exp13,breaking_point,analysis,full,experiments/experiment13_breaking_point/analysis/capacity_pressure_summary.csv,exp13_full_context_separated_memory,,Global budget,32,12,,,0.25,route_table_accuracy,0.2723307291666667,0.0032109623165775,0.0014359860026114978,0.26951619660154813,0.2751452617317852,,,,Observed finite-budget degradation only; capacity-law fitting and paired seed-level local/global inference are not claimed.,"C6,C7"
Exp13,breaking_point,analysis,full,experiments/experiment13_breaking_point/analysis/capacity_pressure_summary.csv,exp13_full_context_separated_memory,,Global budget,32,12,,,0.5,composition_accuracy,0.5173177083333333,0.0023742946001055,0.0010618168248893154,0.5152365473565503,0.5193988693101164,,,,Observed finite-budget degradation only; capacity-law fitting and paired seed-level local/global inference are not claimed.,"C6,C7"
Exp13,breaking_point,analysis,full,experiments/experiment13_breaking_point/analysis/capacity_pressure_summary.csv,exp13_full_context_separated_memory,,Global budget,32,12,,,0.5,route_table_accuracy,0.5143880208333333,0.0027755304358452,0.0012412549456338972,0.5119551611398909,0.5168208805267758,,,,Observed finite-budget degradation only; capacity-law fitting and paired seed-level local/global inference are not claimed.,"C6,C7"
Exp13,breaking_point,analysis,full,experiments/experiment13_breaking_point/analysis/capacity_pressure_summary.csv,exp13_full_context_separated_memory,,Global budget,32,12,,,0.75,composition_accuracy,0.7579427083333334,0.0026605230132425,0.0011898220626625606,0.7556106570905148,0.7602747595761521,,,,Observed finite-budget degradation only; capacity-law fitting and paired seed-level local/global inference are not claimed.,"C6,C7"
Exp13,breaking_point,analysis,full,experiments/experiment13_breaking_point/analysis/capacity_pressure_summary.csv,exp13_full_context_separated_memory,,Global budget,32,12,,,0.75,route_table_accuracy,0.7570963541666667,0.0011134525635733,0.000497951124374261,0.7561203699628931,0.7580723383704402,,,,Observed finite-budget degradation only; capacity-law fitting and paired seed-level local/global inference are not claimed.,"C6,C7"
Exp13,breaking_point,analysis,full,experiments/experiment13_breaking_point/analysis/capacity_pressure_summary.csv,exp13_full_context_separated_memory,,Global budget,32,12,,,1.0,composition_accuracy,1.0,0.0,0.0,1.0,1.0,,,,Observed finite-budget degradation only; capacity-law fitting and paired seed-level local/global inference are not claimed.,"C6,C7"
Exp13,breaking_point,analysis,full,experiments/experiment13_breaking_point/analysis/capacity_pressure_summary.csv,exp13_full_context_separated_memory,,Global budget,32,12,,,1.0,route_table_accuracy,1.0,0.0,0.0,1.0,1.0,,,,Observed finite-budget degradation only; capacity-law fitting and paired seed-level local/global inference are not claimed.,"C6,C7"
Exp13,breaking_point,analysis,full,experiments/experiment13_breaking_point/analysis/capacity_pressure_summary.csv,exp13_full_context_separated_memory,,Global budget,32,12,,,1.25,composition_accuracy,1.0,0.0,0.0,1.0,1.0,,,,Observed finite-budget degradation only; capacity-law fitting and paired seed-level local/global inference are not claimed.,"C6,C7"
Exp13,breaking_point,analysis,full,experiments/experiment13_breaking_point/analysis/capacity_pressure_summary.csv,exp13_full_context_separated_memory,,Global budget,32,12,,,1.25,route_table_accuracy,1.0,0.0,0.0,1.0,1.0,,,,Observed finite-budget degradation only; capacity-law fitting and paired seed-level local/global inference are not claimed.,"C6,C7"
Exp13,breaking_point,analysis,full,experiments/experiment13_breaking_point/analysis/local_capacity_pressure_summary.csv,exp13_full_context_separated_memory,,Local per-world budget,32,12,,,0.25,composition_accuracy,0.0416666666666666,0.0064614040498955,0.002889627737131756,0.03600299630188836,0.04733033703144485,,,,Observed finite-budget degradation only; capacity-law fitting and paired seed-level local/global inference are not claimed.,"C6,C7"
Exp13,breaking_point,analysis,full,experiments/experiment13_breaking_point/analysis/local_capacity_pressure_summary.csv,exp13_full_context_separated_memory,,Local per-world budget,32,12,,,0.25,route_table_accuracy,0.2720703125,0.002385425906323,0.0010667948963654548,0.26997939450312375,0.2741612304968763,,,,Observed finite-budget degradation only; capacity-law fitting and paired seed-level local/global inference are not claimed.,"C6,C7"
Exp13,breaking_point,analysis,full,experiments/experiment13_breaking_point/analysis/local_capacity_pressure_summary.csv,exp13_full_context_separated_memory,,Local per-world budget,32,12,,,0.5,composition_accuracy,0.0596354166666666,0.007199826198411,0.0032198601611661765,0.0533244907507809,0.0659463425825523,,,,Observed finite-budget degradation only; capacity-law fitting and paired seed-level local/global inference are not claimed.,"C6,C7"
Exp13,breaking_point,analysis,full,experiments/experiment13_breaking_point/analysis/local_capacity_pressure_summary.csv,exp13_full_context_separated_memory,,Local per-world budget,32,12,,,0.5,route_table_accuracy,0.51484375,0.0019880770162242,0.0008890950705564526,0.5131011236617093,0.5165863763382907,,,,Observed finite-budget degradation only; capacity-law fitting and paired seed-level local/global inference are not claimed.,"C6,C7"
